Project Name,Vote Count,Average Score,Std Dev,Final Allocation (FIL),category
Keypo,9,6852.444444444444,7944.381711485027,2106.3002329252754,Infra & Deps
fil-miner-info.safematrix,6,9333.333333333334,6683.31255192114,1912.5829070536943,Tooling & Utilities
libp2p Community Architecting and Infra Management,9,6157.555555555556,5991.964204480679,1892.7057061268147,Infra & Deps
iso-filecoin,8,6571.625,8228.804008524829,1795.5396637952476,Tooling & Utilities
Curio Smart Cordon & Restart System,8,5929.125,5370.471446118248,1619.9918755406763,Infra & Deps
Filet Finance,6,7769.166666666667,6767.676541226439,1592.0545037912134,Product & UX
Meet with Huddle01,5,8935.6,8090.345901134265,1525.899627166874,Product & UX
Filecoin Nigeria,4,11154.5,11417.011328130786,1523.8504311950308,Edu & Outreach
SealGuard,5,8870.8,10801.812033172951,1514.8339689189206,Tooling & Utilities
Forest Explorer,9,4652.555555555556,5729.772205574824,1430.0997154832023,Tooling & Utilities
Cuview,4,10205.25,6887.078014901046,1394.170479443551,Tooling & Utilities
Multichain Storage,8,5057.0,3532.4591596061964,1381.7045372815044,Infra & Deps
FIL LAGOS,4,9404.5,9590.923539124547,1284.7775678133191,Edu & Outreach
CIDgravity Nextcloud App,6,5845.333333333333,3256.4974845171714,1197.8233520747708,Tooling & Utilities
万佳社区,5,6893.8,7182.975859628097,1177.228932557746,Edu & Outreach
DevTTY Filecoin Mainnet Bootstrap Nodes,5,6294.4,6722.6288236076225,1074.8715937641762,Infra & Deps
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,7,4239.142857142857,3575.9069911735414,1013.4640211412735,Tooling & Utilities
witnesschain,4,6694.75,5200.331744225555,914.5903154998371,Governance
Web3 Billing & Invoicing System - Building Verifiable Workflows on Filecoin for Digital Public Goods,5,5115.8,5430.1104224499895,873.6063960629722,Tooling & Utilities
MUSE,4,6367.25,6186.961309883875,869.8495367812595,Governance
Filecoin Orbit Bootcamp Africa,4,6136.0,9307.952728715376,838.2577655486763,Edu & Outreach
Filecoin Community Services,6,3887.3333333333335,3853.4504884151115,796.5907807878637,Infra & Deps
Filecoin Orbit Uganda,4,4404.5,5777.468967174697,601.7122438655712,Edu & Outreach
